,category_code,status,founded_at,country_code,funding_rounds,funding_total_usd,milestones,relationships,lat,lng
196,games_video,1,2008,USA,5.0,125371133.0,3.0,4.0,37.441883399999995,-122.14301950000001
201,web,1,2008,USA,5.0,125371133.0,1.0,1.0,39.9525839,-75.1652215
203,software,1,2010,USA,5.0,125371133.0,2.0,2.0,27.950575,-82.4571776
205,games_video,1,2010,BRA,5.0,125371133.0,1.0,1.0,38.3408299,-122.31971999999999
206,software,1,2007,USA,5.0,125371133.0,3.0,2.0,37.7749295,-122.4194155
207,software,1,2001,USA,5.0,125371133.0,1.0,9.0,37.7749295,-122.4194155
216,software,3,2008,USA,5.0,125371133.0,1.0,1.0,42.3317642,-71.1211635
224,advertising,1,2005,USA,5.0,37570663.0,2.0,4.0,38.040583700000006,-84.50371640000002
226,search,1,2008,GBR,5.0,125371133.0,1.0,2.0,51.5073509,-0.12775830000000002
231,software,4,1969,USA,5.0,125371133.0,2.0,27.0,34.7464809,-92.2895948
243,enterprise,2,2008,USA,5.0,142000000.0,3.0,38.0,37.7749295,-122.4194155
245,software,1,2009,other,5.0,125371133.0,1.0,5.0,37.566534999999995,126.9779692
246,software,1,2008,USA,5.0,125371133.0,1.0,2.0,32.9628232,-117.0358646
248,advertising,1,2011,other,5.0,125371133.0,1.0,1.0,41.0082376,28.978358899999996
249,web,1,2007,USA,5.0,125371133.0,1.0,2.0,47.6768927,-122.20598329999999
253,advertising,1,2011,USA,5.0,125371133.0,1.0,6.0,41.499320000000004,-81.6943605
256,public_relations,1,2007,NLD,5.0,125371133.0,1.0,3.0,52.3702157,4.895167900000001
257,software,1,2006,other,5.0,125371133.0,1.0,4.0,55.676096799999996,12.568337199999998
267,games_video,1,2007,USA,5.0,125371133.0,1.0,1.0,40.7259336,-73.51429209999999
269,software,1,2005,USA,5.0,125371133.0,1.0,1.0,37.6624312,-121.8746789
272,mobile,1,2006,ESP,4.0,57735800.0,4.0,50.0,40.4167754,-3.7037902000000003
273,web,1,2006,USA,5.0,125371133.0,2.0,2.0,40.7127753,-74.0059728
276,other,1,1998,USA,5.0,125371133.0,1.0,9.0,44.953702899999996,-93.0899578
279,web,1,2003,USA,5.0,125371133.0,1.0,2.0,42.479261799999996,-71.1522765
286,other,1,2011,USA,5.0,125371133.0,1.0,2.0,36.169941200000004,-115.13982959999998
288,mobile,2,2011,USA,5.0,125371133.0,2.0,4.0,39.0997265,-94.5785667
289,web,1,2011,USA,5.0,125371133.0,1.0,3.0,39.576406,-106.7234639
291,consulting,1,1991,USA,5.0,125371133.0,1.0,2.0,32.7766642,-96.7969879
292,advertising,1,2008,USA,5.0,125371133.0,1.0,1.0,40.8712101,-74.73405229999999
300,web,1,2011,IRL,5.0,125371133.0,1.0,2.0,43.118997799999995,-124.40844799999999
303,advertising,2,2007,ISR,5.0,125371133.0,1.0,2.0,31.762653000000004,34.966931
304,other,1,2002,USA,5.0,125371133.0,1.0,12.0,27.3364347,-82.5306527
311,ecommerce,1,2011,CAN,5.0,125371133.0,1.0,3.0,46.8138783,-71.2079809
313,advertising,1,2008,USA,5.0,125371133.0,1.0,2.0,33.7489954,-84.3879824
315,other,1,2002,CAN,5.0,125371133.0,1.0,4.0,51.0486151,-114.07084590000001
316,software,1,2000,USA,5.0,125371133.0,1.0,2.0,37.678074200000005,-97.23923590000001
320,other,1,2002,USA,5.0,125371133.0,1.0,3.0,42.9633599,-85.6680863
324,ecommerce,1,2007,USA,5.0,125371133.0,1.0,3.0,39.8868485,-105.762548
325,web,1,2008,USA,5.0,125371133.0,3.0,1.0,41.600544799999994,-93.6091064
328,web,1,2009,USA,5.0,125371133.0,1.0,1.0,41.408969,-75.66241219999999
330,software,1,2005,other,5.0,125371133.0,1.0,1.0,54.3520252,18.6466384
331,web,1,2011,USA,5.0,125371133.0,1.0,2.0,47.6062095,-122.33207079999998
333,web,1,2004,NLD,5.0,125371133.0,1.0,3.0,49.4809302,8.4863599
341,web,1,2002,USA,5.0,125371133.0,1.0,2.0,30.267153000000004,-97.7430608
344,web,1,2007,other,5.0,125371133.0,1.0,2.0,35.6894875,139.69170640000002
345,other,1,1999,USA,5.0,125371133.0,1.0,1.0,32.715738,-117.1610838
349,mobile,1,2010,USA,5.0,125371133.0,2.0,11.0,32.7766642,-96.7969879
355,other,2,1930,other,5.0,125371133.0,2.0,59.0,24.861462200000002,67.00993879999999
362,web,1,2000,FRA,5.0,125371133.0,1.0,1.0,48.863812,2.448451
376,games_video,1,2007,other,5.0,125371133.0,1.0,2.0,31.230390399999997,121.4737021
378,other,1,2003,other,5.0,125371133.0,1.0,1.0,35.164633,33.38315
380,software,1,2002,IND,5.0,125371133.0,1.0,2.0,12.9715987,77.5945627
384,ecommerce,1,2002,other,5.0,125371133.0,3.0,3.0,51.1078852,17.0385376
386,software,1,1999,USA,5.0,125371133.0,1.0,4.0,33.158093300000004,-117.3505939
388,web,1,2011,other,5.0,125371133.0,1.0,2.0,1.352083,103.819836
389,network_hosting,2,1996,CAN,6.0,33521974.0,1.0,4.0,45.5016889,-73.567256
398,hardware,1,1984,GBR,5.0,125371133.0,1.0,7.0,51.7520209,-1.2577263
405,search,1,2010,GBR,5.0,125371133.0,1.0,1.0,44.7443293,-92.8513706
406,software,1,2004,USA,5.0,125371133.0,1.0,9.0,28.5383355,-81.3792365
407,software,1,2001,GBR,5.0,125371133.0,1.0,1.0,51.5073509,-0.12775830000000002
408,search,1,2001,other,5.0,125371133.0,2.0,3.0,36.0458512,-95.85226690000002
409,other,1,2011,IND,5.0,125371133.0,1.0,1.0,12.914141699999998,74.8559568
420,network_hosting,1,2007,USA,5.0,125371133.0,1.0,2.0,34.0522342,-118.24368490000002
421,other,1,2005,DEU,5.0,125371133.0,1.0,1.0,51.280284,7.0349609
422,other,1,2008,USA,5.0,125371133.0,1.0,6.0,38.8816208,-77.0909809
423,web,1,2011,FRA,5.0,125371133.0,1.0,2.0,48.856614,2.3522218999999995
425,other,1,2005,USA,7.0,351600000.0,3.0,29.0,34.01945429999999,-118.4911912
428,public_relations,1,2008,USA,5.0,125371133.0,1.0,1.0,29.4241219,-98.4936282
431,ecommerce,1,2008,USA,5.0,125371133.0,1.0,2.0,37.7749295,-122.4194155
432,web,1,1999,USA,5.0,125371133.0,1.0,2.0,37.4377489,-100.9877657
433,software,1,2002,USA,5.0,125371133.0,1.0,1.0,38.252664700000004,-85.7584557
444,other,1,2011,other,5.0,125371133.0,1.0,6.0,44.786568,20.448921600000002
454,search,1,2008,other,5.0,125371133.0,1.0,7.0,41.9973462,21.4279956
457,web,1,2000,other,5.0,125371133.0,1.0,3.0,41.5454486,-8.426507
459,software,1,2004,other,5.0,125371133.0,1.0,2.0,41.5454486,-8.426507
466,other,1,2008,USA,5.0,125371133.0,1.0,1.0,39.739235799999996,-104.990251
469,software,1,2007,USA,5.0,125371133.0,1.0,1.0,39.739235799999996,-104.990251
472,advertising,1,2000,other,5.0,125371133.0,1.0,12.0,37.680651,-97.390305
474,enterprise,1,2008,CAN,5.0,125371133.0,1.0,3.0,43.653226000000004,-79.3831843
481,software,1,1995,USA,5.0,125371133.0,2.0,6.0,41.8781136,-87.62979820000001
490,web,1,2011,USA,5.0,125371133.0,1.0,2.0,20.8569444,-156.31305559999998
496,consulting,1,2008,USA,5.0,125371133.0,1.0,2.0,38.8367674,-80.3425838
497,other,1,1967,USA,5.0,125371133.0,3.0,21.0,53.34980529999999,-6.2603097000000005
500,web,1,2011,USA,5.0,125371133.0,1.0,1.0,33.6412156,-117.91882209999999
502,web,1,2007,USA,5.0,125371133.0,1.0,1.0,37.9479786,-122.06079629999999
506,network_hosting,1,2007,USA,5.0,125371133.0,1.0,2.0,38.3929675,-120.8024357
508,public_relations,1,2011,GBR,5.0,125371133.0,1.0,3.0,50.0755381,14.4378005
510,web,1,2011,USA,5.0,125371133.0,2.0,4.0,39.2903848,-76.6121893
514,software,1,2005,GBR,5.0,125371133.0,1.0,8.0,53.8007554,-1.5490774
516,other,1,2006,USA,5.0,80512816.0,2.0,4.0,37.562991700000005,-122.32552539999999
518,network_hosting,1,2007,USA,5.0,125371133.0,1.0,4.0,21.3069444,-157.8583333
521,consulting,1,2004,USA,5.0,125371133.0,1.0,2.0,44.9597376,-93.3702186
522,search,1,2008,IND,5.0,125371133.0,1.0,2.0,28.6139391,77.20902120000001
531,web,1,2011,USA,5.0,125371133.0,1.0,1.0,42.1969689,-88.0934108
533,games_video,1,2011,AUS,5.0,125371133.0,1.0,2.0,-34.9284989,138.6007456
536,web,1,2003,GBR,5.0,125371133.0,1.0,2.0,42.4663727,-72.5795115
538,other,1,2008,GBR,5.0,125371133.0,1.0,1.0,54.597285,-5.93012
539,ecommerce,1,2007,USA,5.0,125371133.0,1.0,5.0,35.96063839999999,-83.9207392
541,network_hosting,2,2003,GBR,5.0,125371133.0,1.0,9.0,54.597285,-5.93012
549,web,1,2011,USA,5.0,125371133.0,1.0,2.0,44.8923859,-123.03635849999999
551,web,1,2007,GBR,5.0,125371133.0,1.0,2.0,51.7520209,-1.2577263
560,games_video,1,2011,ISR,5.0,125371133.0,1.0,2.0,32.162413,34.844675
566,software,1,2011,USA,5.0,125371133.0,2.0,3.0,30.267153000000004,-97.7430608
572,games_video,1,2007,other,5.0,125371133.0,1.0,1.0,49.839683,24.029717
575,web,1,2003,GBR,5.0,125371133.0,1.0,5.0,54.597285,-5.93012
579,web,2,1999,DEU,5.0,125371133.0,2.0,2.0,48.1351253,11.581980499999998
589,web,1,2008,USA,5.0,125371133.0,1.0,1.0,35.2270869,-80.8431267
595,web,1,2005,ISR,5.0,125371133.0,1.0,1.0,32.0852999,34.7817676
599,mobile,1,2011,USA,5.0,125371133.0,1.0,1.0,34.187044,-118.3812562
600,web,1,2001,AUS,5.0,125371133.0,1.0,5.0,-38.158,145.135
605,games_video,1,2001,other,5.0,125371133.0,2.0,1.0,35.6894875,139.69170640000002
611,web,1,2011,USA,5.0,125371133.0,1.0,1.0,52.205337,0.12181700000000001
613,web,1,2008,USA,4.0,29540000.0,3.0,15.0,34.151749200000005,-118.52142820000002
618,other,1,2007,other,5.0,125371133.0,1.0,2.0,42.3628843,-71.093751
620,advertising,1,2007,USA,7.0,60000000.0,5.0,29.0,34.0522342,-118.24368490000002
622,network_hosting,1,2005,other,5.0,125371133.0,1.0,1.0,39.9333635,32.859741899999996
624,other,1,2011,USA,5.0,125371133.0,1.0,3.0,40.7127753,-74.0059728
628,ecommerce,1,2008,ESP,5.0,125371133.0,1.0,1.0,40.4167754,-3.7037902000000003
630,consulting,1,1996,CAN,5.0,125371133.0,1.0,2.0,49.282729100000005,-123.1207375
632,search,1,2010,IND,5.0,125371133.0,1.0,1.0,12.9715987,77.5945627
633,web,1,2004,other,5.0,125371133.0,1.0,1.0,-36.8484597,174.7633315
635,other,1,2006,USA,5.0,125371133.0,1.0,1.0,42.376485200000005,-71.2356113
649,search,1,2011,other,5.0,125371133.0,1.0,1.0,39.9333635,32.859741899999996
652,web,1,2011,other,5.0,125371133.0,1.0,1.0,50.0755381,14.4378005
653,software,1,2006,other,5.0,125371133.0,1.0,3.0,55.763516,12.4949429
656,other,1,2011,GBR,5.0,125371133.0,1.0,2.0,51.8031689,-0.208661
657,mobile,1,2011,NLD,5.0,125371133.0,1.0,1.0,52.3702157,4.895167900000001
668,web,1,2000,IRL,5.0,125371133.0,3.0,5.0,53.34980529999999,-6.2603097000000005
670,software,1,2010,IND,5.0,125371133.0,1.0,1.0,15.8496953,74.4976741
671,other,1,1999,USA,5.0,125371133.0,1.0,1.0,34.7464809,-92.2895948
674,software,1,2011,USA,5.0,125371133.0,1.0,2.0,33.8160058,-78.68001600000001
682,ecommerce,1,2011,USA,5.0,125371133.0,1.0,1.0,37.7749295,-122.4194155
685,web,1,2011,other,5.0,125371133.0,1.0,1.0,41.0082376,28.978358899999996
689,other,1,2010,USA,5.0,125371133.0,1.0,2.0,45.440847399999996,12.315515099999999
699,games_video,1,2006,ISR,5.0,125371133.0,1.0,4.0,32.184781,34.871326
703,consulting,1,2007,other,5.0,125371133.0,1.0,3.0,-32.9442426,-60.65053879999999
709,mobile,1,2011,USA,5.0,125371133.0,1.0,3.0,30.267153000000004,-97.7430608
719,ecommerce,1,2008,USA,5.0,125371133.0,1.0,6.0,39.9525839,-75.1652215
720,games_video,1,2010,USA,5.0,125371133.0,1.0,1.0,33.494170399999994,-111.9260519
723,advertising,1,2003,GBR,5.0,125371133.0,2.0,1.0,51.5073509,-0.12775830000000002
724,consulting,1,2000,USA,5.0,125371133.0,1.0,4.0,25.7616798,-80.1917902
728,ecommerce,1,2009,USA,5.0,125371133.0,1.0,2.0,39.1156615,-77.5636015
729,web,1,2007,USA,5.0,125371133.0,2.0,4.0,52.205337,0.12181700000000001
745,ecommerce,1,2007,USA,5.0,125371133.0,1.0,1.0,33.5684605,-117.7262981
749,ecommerce,1,2008,USA,5.0,125371133.0,1.0,2.0,35.6512655,-78.8336218
751,consulting,1,2006,other,5.0,125371133.0,1.0,3.0,45.464203499999996,9.189982
753,mobile,1,2011,USA,5.0,125371133.0,1.0,2.0,34.0522342,-118.24368490000002
755,web,1,2007,other,5.0,125371133.0,1.0,1.0,51.1078852,17.0385376
756,enterprise,1,2004,USA,5.0,125371133.0,1.0,2.0,40.7127753,-74.0059728
768,games_video,1,1999,other,5.0,125371133.0,1.0,5.0,38.979222,-94.77251600000001
770,public_relations,1,2006,GBR,5.0,125371133.0,2.0,2.0,53.789287699999996,-2.2405035
776,advertising,1,2008,other,5.0,125371133.0,1.0,2.0,52.406374,16.9251681
778,ecommerce,2,2003,USA,5.0,125371133.0,1.0,3.0,40.7127753,-74.0059728
779,advertising,4,2005,USA,8.0,116400000.0,3.0,24.0,40.7127753,-74.0059728
781,web,1,2008,other,5.0,125371133.0,1.0,1.0,1.352083,103.819836
782,software,1,2011,other,5.0,125371133.0,1.0,1.0,37.8881751,-4.7793835
785,public_relations,1,2011,DEU,5.0,125371133.0,1.0,2.0,52.5200066,13.404954
789,games_video,1,2011,USA,5.0,125371133.0,1.0,1.0,33.883992600000006,-84.51437609999999
792,web,1,2010,other,5.0,125371133.0,1.0,1.0,31.230390399999997,121.4737021
817,education,1,2012,other,5.0,125371133.0,1.0,6.0,-38.7359018,-72.5903739
820,software,1,2004,USA,5.0,125371133.0,1.0,3.0,37.7749295,-122.4194155
824,web,1,2010,USA,5.0,125371133.0,1.0,2.0,52.205337,0.12181700000000001
826,consulting,1,2004,USA,5.0,125371133.0,1.0,3.0,37.562991700000005,-122.32552539999999
828,web,4,1993,USA,5.0,125371133.0,3.0,5.0,26.817116499999997,-80.0590804
830,advertising,2,2002,USA,5.0,125371133.0,1.0,1.0,37.441883399999995,-122.14301950000001
835,software,1,2006,USA,5.0,125371133.0,1.0,3.0,33.7489954,-84.3879824
836,advertising,2,1995,USA,5.0,125371133.0,2.0,20.0,37.7749295,-122.4194155
841,consulting,1,2011,other,5.0,125371133.0,1.0,1.0,37.192957799999995,-95.7175467
843,web,1,1997,ESP,5.0,125371133.0,1.0,1.0,41.3850639,2.1734035
853,search,1,2007,AUS,5.0,125371133.0,1.0,1.0,-37.813627600000004,144.96305759999998
860,advertising,1,2010,USA,5.0,125371133.0,1.0,3.0,32.5420821,-97.32084920000001
863,other,1,2010,IND,5.0,125371133.0,1.0,4.0,12.9715987,77.5945627
881,software,1,2007,USA,5.0,125371133.0,1.0,1.0,33.7489954,-84.3879824
887,biotech,1,1999,USA,5.0,125371133.0,1.0,1.0,42.376485200000005,-71.2356113
889,mobile,1,2011,USA,5.0,125371133.0,3.0,2.0,34.0522342,-118.24368490000002
900,mobile,1,2006,USA,5.0,125371133.0,1.0,17.0,47.751074100000004,-120.7401385
901,advertising,1,2007,USA,5.0,125371133.0,1.0,3.0,40.7127753,-74.0059728
911,education,1,2011,other,5.0,125371133.0,1.0,1.0,-33.4488897,-70.66926550000001
913,other,1,2008,other,5.0,125371133.0,1.0,1.0,5.6037168,-0.1869644
918,advertising,1,2006,USA,5.0,125371133.0,2.0,3.0,45.523062200000005,-122.6764815
923,software,1,2008,USA,5.0,125371133.0,1.0,4.0,33.2000368,-117.2425355
927,software,1,2009,USA,5.0,125371133.0,1.0,1.0,42.3056501,-71.52450870000001
928,other,1,2006,USA,5.0,125371133.0,1.0,3.0,52.486243,-1.8904009999999998
935,search,1,2011,BRA,5.0,125371133.0,1.0,1.0,-23.550519899999998,-46.6333094
940,enterprise,1,2011,other,5.0,125371133.0,1.0,1.0,-33.4488897,-70.66926550000001
941,software,2,1996,USA,5.0,125371133.0,1.0,8.0,37.8771476,-122.17968880000001
944,mobile,1,2011,GBR,5.0,125371133.0,1.0,2.0,51.753240999999996,-0.448632
945,advertising,1,2007,USA,5.0,125371133.0,1.0,3.0,37.7749295,-122.4194155
946,software,1,1994,USA,5.0,125371133.0,1.0,18.0,42.194575799999996,-122.7094767
951,consulting,1,2001,USA,5.0,125371133.0,1.0,5.0,42.376485200000005,-71.2356113
964,advertising,1,2003,USA,5.0,125371133.0,1.0,1.0,38.9586307,-77.35700279999999
966,web,1,2007,GBR,5.0,125371133.0,1.0,4.0,51.5073509,-0.12775830000000002
980,consulting,1,2004,CAN,5.0,125371133.0,1.0,1.0,45.5016889,-73.567256
983,web,1,2008,IND,5.0,125371133.0,1.0,3.0,13.0826802,80.2707184
984,software,1,2005,other,5.0,125371133.0,2.0,4.0,-36.8484597,174.7633315
994,ecommerce,1,2008,GBR,5.0,125371133.0,3.0,1.0,53.4807593,-2.2426305
997,mobile,1,2005,GBR,5.0,125371133.0,1.0,1.0,53.4807593,-2.2426305
999,other,1,2005,other,5.0,125371133.0,1.0,1.0,59.913868799999996,10.7522454
1001,other,2,2003,USA,5.0,125371133.0,1.0,7.0,35.2270869,-80.8431267
1004,games_video,1,1995,USA,5.0,125371133.0,1.0,2.0,40.2414952,-75.28378620000001
1005,software,1,2008,other,5.0,125371133.0,1.0,1.0,45.6668893,12.2430437
1015,software,2,2003,USA,6.0,53816776.0,1.0,8.0,37.354107899999995,-121.9552356
1016,ecommerce,1,1980,USA,5.0,125371133.0,1.0,2.0,44.9591352,-89.6301221
1020,ecommerce,1,2011,ISR,5.0,125371133.0,2.0,2.0,32.0852999,34.7817676
1023,advertising,1,1993,USA,5.0,125371133.0,1.0,2.0,42.65257929999999,-73.7562317
1024,games_video,1,2007,USA,5.0,125371133.0,1.0,2.0,44.977753,-93.2650108
1028,public_relations,1,2001,USA,5.0,125371133.0,1.0,1.0,26.2128609,-80.2497707
1036,web,3,2007,USA,5.0,125371133.0,2.0,2.0,47.6062095,-122.33207079999998
1037,web,1,2010,USA,5.0,125371133.0,1.0,4.0,40.7127753,-74.0059728
1039,network_hosting,1,2011,BRA,5.0,125371133.0,1.0,1.0,-22.9068467,-43.1728965
1045,advertising,1,2011,USA,5.0,125371133.0,1.0,6.0,36.8529263,-75.977985
1051,enterprise,1,2007,USA,5.0,125371133.0,1.0,2.0,37.7749295,-122.4194155
1056,other,1,1996,USA,5.0,125371133.0,2.0,7.0,40.7127753,-74.0059728
1060,ecommerce,1,2010,USA,5.0,125371133.0,1.0,1.0,37.7749295,-122.4194155
1061,search,1,2005,other,5.0,125371133.0,2.0,3.0,51.0543422,3.7174242999999993
1067,consulting,1,2003,USA,5.0,125371133.0,2.0,1.0,37.354107899999995,-121.9552356
1077,public_relations,1,2007,USA,5.0,125371133.0,1.0,4.0,41.6639383,-83.555212
1085,biotech,2,2003,FRA,5.0,125371133.0,1.0,1.0,48.856614,2.3522218999999995
1096,consulting,1,2009,GBR,5.0,125371133.0,1.0,4.0,51.5073509,-0.12775830000000002
1098,games_video,1,2008,other,5.0,125371133.0,2.0,7.0,39.9041999,116.4073963
1106,games_video,1,2010,other,5.0,125371133.0,1.0,1.0,33.7293882,73.09314609999998
1107,ecommerce,1,2006,USA,5.0,125371133.0,1.0,2.0,26.100365399999998,-80.3997748
1117,web,1,2006,USA,6.0,67650000.0,2.0,31.0,37.4852152,-122.2363548
1120,other,4,1980,USA,5.0,125371133.0,1.0,2.0,32.715738,-117.1610838
1125,web,1,2011,USA,5.0,125371133.0,1.0,1.0,37.441883399999995,-122.14301950000001
1132,web,1,2010,other,5.0,125371133.0,1.0,2.0,44.786568,20.448921600000002
1134,ecommerce,1,2010,USA,5.0,125371133.0,1.0,1.0,39.1677134,-120.1451812
1136,other,1,2011,other,5.0,125371133.0,1.0,1.0,62.2426034,25.747256699999998
1140,other,1,2010,USA,5.0,125371133.0,1.0,1.0,32.2217429,-110.926479
1153,software,1,1999,USA,5.0,125371133.0,1.0,1.0,37.338208200000004,-121.88632859999998
1154,software,1,2005,other,5.0,125371133.0,1.0,2.0,24.861462200000002,67.00993879999999
1157,web,1,2010,CAN,5.0,125371133.0,1.0,1.0,49.282729100000005,-123.1207375
1158,mobile,1,2001,other,5.0,125371133.0,1.0,2.0,25.0329694,121.56541770000001
1161,software,1,2007,other,5.0,125371133.0,1.0,1.0,46.635417,32.616867
1170,web,1,2011,USA,5.0,125371133.0,1.0,3.0,39.529632899999996,-119.8138027
1171,consulting,1,1972,USA,5.0,125371133.0,1.0,37.0,40.7127753,-74.0059728
1174,web,1,1998,USA,5.0,125371133.0,1.0,2.0,28.034462100000006,-80.5886646
1175,other,1,2008,NLD,5.0,125371133.0,2.0,23.0,52.3702157,4.895167900000001
1176,other,1,2008,NLD,5.0,125371133.0,1.0,2.0,52.3702157,4.895167900000001
1182,software,1,1986,GBR,5.0,125371133.0,1.0,5.0,51.5073509,-0.12775830000000002
1192,software,1,2002,FRA,5.0,125371133.0,1.0,1.0,48.856614,2.3522218999999995
1208,software,1,2008,USA,5.0,125371133.0,1.0,4.0,37.8718992,-122.2585399
1209,web,1,2010,USA,5.0,125371133.0,2.0,2.0,37.441883399999995,-122.14301950000001
1213,ecommerce,1,2010,ISR,5.0,125371133.0,1.0,3.0,32.095838,34.952177
1222,consulting,1,2010,CAN,5.0,125371133.0,1.0,1.0,33.8710729,-117.86275479999999
1225,web,1,2006,USA,5.0,125371133.0,1.0,1.0,34.0522342,-118.24368490000002
1229,software,1,2010,IND,5.0,125371133.0,1.0,3.0,28.535516100000002,77.3910265
1240,web,1,2008,USA,5.0,125371133.0,1.0,1.0,25.7616798,-80.1917902
1241,ecommerce,1,2011,USA,5.0,125371133.0,1.0,1.0,39.934002,-74.8909988
1243,web,1,2011,AUS,5.0,125371133.0,1.0,2.0,-33.8688197,151.2092955
1250,mobile,1,2011,other,5.0,125371133.0,1.0,3.0,22.3185673,114.1796057
1259,web,1,2008,USA,5.0,125371133.0,3.0,6.0,37.7749295,-122.4194155
1262,web,2,1998,USA,5.0,125371133.0,4.0,21.0,33.9191799,-118.4164652
1284,web,1,2004,GBR,5.0,125371133.0,2.0,3.0,51.5073509,-0.12775830000000002
1287,software,2,1999,USA,5.0,125371133.0,1.0,2.0,39.1429081,-94.5729781
1292,biotech,1,2006,USA,6.0,160549892.0,3.0,41.0,37.3860517,-122.08385109999999
1293,web,1,2005,USA,5.0,125371133.0,1.0,3.0,37.678074200000005,-97.23923590000001
1295,ecommerce,1,2004,FRA,5.0,125371133.0,1.0,3.0,32.9754859,-96.88537729999999
